signal_id,roulette_id,lookback_window,trigger,bets_len,overlap_unique,overlap_hits,overlap_ratio,overlap_group_unique,confidence_score,confidence_bucket,status_observed,baseline_outcome,baseline_hit_attempt
110decdb-0763-43b3-a9f6-4cea4c0a81d1,pragmatic-romanian-roulette,1,10,14,0,0,0.0,0,70,70+,win,win,1
111775c5-591e-4b88-9934-4376fa4120c5,pragmatic-romanian-roulette,1,0,14,1,1,0.071429,1,70,70+,cancelled,win,1
111df926-1280-4007-a00e-ddddc8216683,pragmatic-speed-auto-roulette,1,28,14,1,1,0.071429,1,56,<= 59,win,win,3
112ffc9e-e4a7-43a3-9b7f-8fd21219da8b,pragmatic-speed-roulette-2,1,6,14,1,1,0.071429,1,60,60-69,win,loss,
1131985b-05b7-4553-b2cc-8abe7ad54880,pragmatic-immersive-roulette-deluxe,1,12,14,0,0,0.0,0,69,60-69,win,win,4
11d6174b-6c16-4cf9-9f04-61f3e434ba8b,pragmatic-roulete-3,1,8,14,1,1,0.071429,1,74,70+,win,win,3
121bc69c-19a7-432a-8c36-38d12decf2ac,pragmatic-russian-roulette,1,15,14,1,1,0.071429,1,69,60-69,cancelled,win,1
1247d7b1-72ae-4d57-95ca-2c60b69bd11b,pragmatic-roulette-macao,1,34,14,0,0,0.0,0,60,60-69,win,win,1
12727c90-3f80-458b-a7b2-a834f1a1fd04,pragmatic-roulette-macao,1,10,14,0,0,0.0,0,70,70+,win,win,1
12797467-2635-43cc-a9aa-204cc98412df,pragmatic-roulette-italian,1,8,14,1,1,0.071429,1,62,60-69,cancelled,win,1
12843c85-f9ce-4459-90e2-5a7c38b23af0,pragmatic-vip-roulette,1,24,14,1,1,0.071429,1,71,70+,cancelled,win,1
128aef24-d5d6-467e-bf7c-212c89eadab0,pragmatic-russian-roulette,1,22,14,0,0,0.0,0,79,70+,win,win,3
12a136cd-d5cd-47fd-bc0f-15c3fbb04a71,pragmatic-roulete-3,1,18,14,1,1,0.071429,1,82,70+,win,win,2
130bc011-7f9e-4b47-b2b1-3fea103c91b7,pragmatic-german-roulette,1,10,14,0,0,0.0,0,70,70+,lost,loss,
1384bb8a-3d31-4c76-8276-cd4e279ef483,pragmatic-roulette-2,1,12,14,0,0,0.0,0,70,70+,win,win,1
13a7cf19-85e0-43c7-a23b-f08436c864bd,pragmatic-mega-roulette-brazilian,1,29,14,0,0,0.0,0,80,70+,win,win,2
14156bc9-c2d9-46fd-8989-eac4cba5cfd9,pragmatic-vip-auto-roulette,1,31,14,0,0,0.0,0,66,60-69,win,win,1
